Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,48100.000000,50400.000000,48100.000000,50200.000000,49452.339844,501866
2021-10-01,49900.000000,53300.000000,49900.000000,52000.000000,51225.535156,1081652
2021-10-05,51600.000000,52500.000000,50900.000000,52200.000000,51422.554688,631860
2021-10-06,52700.000000,52900.000000,48000.000000,48150.000000,47432.875000,1137503
2021-10-07,49200.000000,50100.000000,48200.000000,49700.000000,48959.789063,468311
2021-10-08,49750.000000,50000.000000,48450.000000,48800.000000,48073.191406,350867
2021-10-12,48800.000000,51300.000000,48800.000000,50600.000000,49846.382813,501625
2021-10-13,50900.000000,51700.000000,50200.000000,50700.000000,49944.894531,312863
2021-10-14,51000.000000,51400.000000,49850.000000,50300.000000,49550.851563,441435
2021-10-15,50700.000000,51000.000000,49500.000000,50100.000000,49353.832031,528181
2021-10-18,50800.000000,51400.000000,50000.000000,51400.000000,50634.468750,572656
2021-10-19,52000.000000,52100.000000,50500.000000,50900.000000,50141.917969,584916
2021-10-20,51200.000000,51200.000000,48050.000000,48100.000000,47383.617188,1618118
2021-10-21,48650.000000,50100.000000,48400.000000,49300.000000,48565.746094,2005355
2021-10-22,49200.000000,49200.000000,46800.000000,47100.000000,46398.511719,1952569
2021-10-25,46800.000000,47350.000000,46400.000000,46650.000000,45955.214844,504461
2021-10-26,46650.000000,46950.000000,46100.000000,46400.000000,45708.937500,462761
2021-10-27,46450.000000,46700.000000,44700.000000,44900.000000,44231.277344,805609
2021-10-28,44900.000000,46550.000000,44650.000000,45350.000000,44674.574219,516830
2021-10-29,45400.000000,45650.000000,44300.000000,45000.000000,44329.789063,318144
2021-11-01,44800.000000,45200.000000,43850.000000,43850.000000,43196.917969,380977
2021-11-02,43900.000000,44550.000000,43850.000000,44050.000000,43393.937500,197087
2021-11-03,44100.000000,44200.000000,42750.000000,43050.000000,42408.832031,431283
2021-11-04,43400.000000,43550.000000,42050.000000,42300.000000,41670.000000,656518
2021-11-05,42400.000000,42650.000000,41600.000000,42150.000000,41522.234375,349928
2021-11-08,41900.000000,42650.000000,41400.000000,42450.000000,41817.765625,287861
2021-11-09,42400.000000,43000.000000,42400.000000,42550.000000,41916.277344,236449
2021-11-10,42150.000000,42350.000000,40900.000000,40900.000000,40290.851563,444742
2021-11-11,40300.000000,40900.000000,40150.000000,40450.000000,39847.554688,444836
2021-11-12,40350.000000,41400.000000,40350.000000,41050.000000,40438.617188,323854
2021-11-15,41250.000000,42150.000000,40950.000000,41950.000000,41325.214844,401058
2021-11-16,41650.000000,42950.000000,41600.000000,42000.000000,41374.468750,489371
2021-11-17,42150.000000,43250.000000,41450.000000,42800.000000,42162.554688,481822
2021-11-18,43400.000000,45250.000000,43300.000000,43450.000000,42802.875000,818133
2021-11-19,43450.000000,44250.000000,43250.000000,43800.000000,43147.660156,311657
2021-11-22,43800.000000,43850.000000,42600.000000,42900.000000,42261.066406,379024
2021-11-23,42800.000000,44400.000000,42400.000000,44200.000000,43541.703125,324042
2021-11-24,44650.000000,44650.000000,43200.000000,43900.000000,43246.171875,320531
2021-11-25,44050.000000,44850.000000,43850.000000,44400.000000,43738.722656,277182
2021-11-26,44400.000000,44600.000000,42800.000000,43050.000000,42408.832031,294702
2021-11-29,41500.000000,43050.000000,41400.000000,42300.000000,41670.000000,287946
2021-11-30,42350.000000,43200.000000,40200.000000,40650.000000,40044.574219,407988
2021-12-01,40500.000000,42100.000000,40300.000000,41850.000000,41226.703125,267985
2021-12-02,41250.000000,43450.000000,40950.000000,43250.000000,42605.851563,296098
2021-12-03,43250.000000,43750.000000,42850.000000,43250.000000,42605.851563,202607
2021-12-06,43100.000000,44450.000000,42450.000000,44100.000000,43443.191406,319817
2021-12-07,44350.000000,44900.000000,43900.000000,44800.000000,44132.765625,308462
2021-12-08,45100.000000,45750.000000,44200.000000,44350.000000,43689.468750,403990
2021-12-09,44600.000000,47500.000000,44550.000000,47250.000000,46546.277344,920806
2021-12-10,47300.000000,49250.000000,46500.000000,46900.000000,46201.492188,926139
2021-12-13,47350.000000,48900.000000,46950.000000,47400.000000,46694.042969,1119799
2021-12-14,48000.000000,48050.000000,46300.000000,46350.000000,45659.683594,536079
2021-12-15,46300.000000,46850.000000,45500.000000,46050.000000,45364.148438,308255
2021-12-16,46350.000000,47000.000000,45450.000000,45750.000000,45068.617188,349337
2021-12-17,45400.000000,47150.000000,45400.000000,47150.000000,46447.765625,403496
2021-12-20,46950.000000,46950.000000,46000.000000,46000.000000,45314.894531,237372
2021-12-21,46150.000000,46500.000000,45450.000000,45900.000000,45216.382813,193315
2021-12-22,46150.000000,46300.000000,45550.000000,45800.000000,45117.875000,169752
2021-12-23,45900.000000,46350.000000,45500.000000,46100.000000,45413.406250,219129
